|dates|Wayne_Illinois_UnitedStates.JHU_ConfirmedCases.data|Wayne_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|9.0|0|1.0|0|0.0|0
0|2020-05-28|9.0|0|1.0|0|0.0|0
0|2020-05-29|9.0|0|1.0|0|0.0|0
0|2020-05-30|9.0|0|1.0|0|0.0|0
