|dates|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|613.0|0|42.0|0|0.0|0
0|2020-05-18|615.0|0|42.0|0|0.0|0
0|2020-05-19|615.0|0|42.0|0|0.0|0
0|2020-05-20|615.0|0|42.0|0|0.0|0
0|2020-05-21|618.0|0|43.0|0|0.0|0
0|2020-05-22|622.0|0|43.0|0|0.0|0
0|2020-05-23|622.0|0|43.0|0|0.0|0
