|dates|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|198.0|0|9.0|0|0.0|0
0|2020-05-18|198.0|0|9.0|0|0.0|0
0|2020-05-19|204.0|0|11.0|0|0.0|0
0|2020-05-20|205.0|0|15.0|0|0.0|0
0|2020-05-21|206.0|0|16.0|0|0.0|0
0|2020-05-22|206.0|0|16.0|0|0.0|0
0|2020-05-23|206.0|0|16.0|0|0.0|0
