|dates|Franklin_Georgia_UnitedStates.JHU_ConfirmedCases.data|Franklin_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|36.0|0|1.0|0|0.0|0
0|2020-05-25|39.0|0|1.0|0|0.0|0
0|2020-05-26|39.0|0|1.0|0|0.0|0
