|dates|SanAugustine_Texas_UnitedStates.JHU_ConfirmedCases.data|SanAugustine_Texas_UnitedStates.JHU_ConfirmedCases.missing|SanAugustine_Texas_UnitedStates.JHU_ConfirmedDeaths.data|SanAugustine_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|SanAugustine_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|SanAugustine_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|29.0|0|1.0|0|0.0|0
0|2020-05-25|29.0|0|1.0|0|0.0|0
0|2020-05-26|29.0|0|1.0|0|0.0|0
