|dates|Pueblo_Colorado_UnitedStates.JHU_ConfirmedCases.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Pueblo_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Pueblo_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Pueblo_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|278.0|0|14.0|0|0.0|0
0|2020-05-28|278.0|0|14.0|0|0.0|0
0|2020-05-29|278.0|0|14.0|0|0.0|0
0|2020-05-30|278.0|0|14.0|0|0.0|0
