|dates|Baxter_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Baxter_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Baxter_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Baxter_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6.0|0|0.0|0|0.0|0
0|2020-05-25|7.0|0|0.0|0|0.0|0
0|2020-05-26|7.0|0|0.0|0|0.0|0
