|dates|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|St.Louis_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|102.0|0|13.0|0|0.0|0
0|2020-05-18|105.0|0|13.0|0|0.0|0
0|2020-05-19|107.0|0|13.0|0|0.0|0
0|2020-05-20|110.0|0|13.0|0|0.0|0
0|2020-05-21|109.0|0|13.0|0|0.0|0
0|2020-05-22|109.0|0|13.0|0|0.0|0
0|2020-05-23|109.0|0|13.0|0|0.0|0
