|dates|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|153.0|0|1.0|0|0.0|0
0|2020-05-25|154.0|0|1.0|0|0.0|0
0|2020-05-26|154.0|0|1.0|0|0.0|0
