|dates|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|243.0|0|20.0|0|0.0|0
0|2020-05-25|245.0|0|20.0|0|0.0|0
0|2020-05-26|245.0|0|20.0|0|0.0|0
