|dates|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Erie_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|137.0|0|3.0|0|0.0|0
0|2020-05-18|145.0|0|4.0|0|0.0|0
0|2020-05-19|147.0|0|4.0|0|0.0|0
0|2020-05-20|163.0|0|4.0|0|0.0|0
0|2020-05-21|177.0|0|4.0|0|0.0|0
0|2020-05-22|190.0|0|4.0|0|0.0|0
0|2020-05-23|190.0|0|4.0|0|0.0|0
