|dates|Hamilton_Indiana_UnitedStates.JHU_ConfirmedCases.data|Hamilton_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Hamilton_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Hamilton_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Hamilton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Hamilton_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1021.0|0|90.0|0|0.0|0
0|2020-05-18|1033.0|0|90.0|0|0.0|0
0|2020-05-19|1042.0|0|92.0|0|0.0|0
0|2020-05-20|1054.0|0|91.0|0|0.0|0
0|2020-05-21|1071.0|0|91.0|0|0.0|0
0|2020-05-22|1084.0|0|91.0|0|0.0|0
0|2020-05-23|1084.0|0|91.0|0|0.0|0
