|dates|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1333.0|0|74.0|0|0.0|0
0|2020-05-18|1355.0|0|74.0|0|0.0|0
0|2020-05-19|1367.0|0|78.0|0|0.0|0
0|2020-05-20|1433.0|0|83.0|0|0.0|0
0|2020-05-21|1453.0|0|85.0|0|0.0|0
0|2020-05-22|1498.0|0|88.0|0|0.0|0
0|2020-05-23|1498.0|0|88.0|0|0.0|0
