|dates|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedCases.data|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|BlueEarth_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|83.0|0|0.0|0|0.0|0
0|2020-05-18|87.0|0|0.0|0|0.0|0
0|2020-05-19|93.0|0|0.0|0|0.0|0
0|2020-05-20|98.0|0|1.0|0|0.0|0
0|2020-05-21|104.0|0|1.0|0|0.0|0
0|2020-05-22|108.0|0|1.0|0|0.0|0
0|2020-05-23|108.0|0|1.0|0|0.0|0
