|dates|Teton_Idaho_UnitedStates.JHU_ConfirmedCases.data|Teton_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Teton_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Teton_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Teton_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Teton_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|11.0|0|0.0|0|0.0|0
0|2020-05-25|11.0|0|0.0|0|0.0|0
0|2020-05-26|11.0|0|0.0|0|0.0|0
