|dates|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Hidalgo_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|1.0|0|0.0|0|0.0|0
0|2020-05-28|1.0|0|0.0|0|0.0|0
0|2020-05-29|1.0|0|0.0|0|0.0|0
0|2020-05-30|1.0|0|0.0|0|0.0|0
