|dates|Liberty_Texas_UnitedStates.JHU_ConfirmedCases.data|Liberty_Texas_UnitedStates.JHU_ConfirmedCases.missing|Liberty_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Liberty_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Liberty_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Liberty_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|75.0|0|3.0|0|0.0|0
0|2020-05-18|75.0|0|3.0|0|0.0|0
0|2020-05-19|75.0|0|3.0|0|0.0|0
0|2020-05-20|79.0|0|3.0|0|0.0|0
0|2020-05-21|81.0|0|3.0|0|0.0|0
0|2020-05-22|81.0|0|3.0|0|0.0|0
0|2020-05-23|81.0|0|3.0|0|0.0|0
