|dates|Custer_Colorado_UnitedStates.JHU_ConfirmedCases.data|Custer_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Custer_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|2.0|0|0.0|0|0.0|0
0|2020-05-25|2.0|0|0.0|0|0.0|0
0|2020-05-26|2.0|0|0.0|0|0.0|0
