|dates|Union_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Union_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Union_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|31.0|0|0.0|0|0.0|0
0|2020-05-18|31.0|0|0.0|0|0.0|0
0|2020-05-19|31.0|0|0.0|0|0.0|0
0|2020-05-20|31.0|0|0.0|0|0.0|0
0|2020-05-21|31.0|0|0.0|0|0.0|0
0|2020-05-22|31.0|0|0.0|0|0.0|0
0|2020-05-23|31.0|0|0.0|0|0.0|0
