|dates|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Nicholas_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|10.0|0|1.0|0|0.0|0
0|2020-05-25|10.0|0|1.0|0|0.0|0
0|2020-05-26|10.0|0|1.0|0|0.0|0
