|dates|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Morehouse_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|91.0|0|5.0|0|0.0|0
0|2020-05-18|93.0|0|5.0|0|0.0|0
0|2020-05-19|93.0|0|5.0|0|0.0|0
0|2020-05-20|94.0|0|5.0|0|0.0|0
0|2020-05-21|108.0|0|5.0|0|0.0|0
0|2020-05-22|110.0|0|5.0|0|0.0|0
0|2020-05-23|110.0|0|5.0|0|0.0|0
