|dates|Jones_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Jones_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|467.0|0|13.0|0|0.0|0
0|2020-05-25|492.0|0|15.0|0|0.0|0
0|2020-05-26|492.0|0|15.0|0|0.0|0
