|dates|Steele_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Steele_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Steele_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Steele_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Steele_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Steele_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1266.0|0|25.0|0|0.0|0
0|2020-05-25|1266.0|0|25.0|0|0.0|0
0|2020-05-26|1266.0|0|25.0|0|0.0|0
