|dates|Payne_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Payne_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Payne_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Payne_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Payne_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Payne_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|44.0|0|1.0|0|0.0|0
0|2020-05-15|44.0|0|1.0|0|0.0|0
0|2020-05-16|44.0|0|1.0|0|0.0|0
