|dates|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Buffalo_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1.0|0|0.0|0|0.0|0
0|2020-05-18|1.0|0|0.0|0|0.0|0
0|2020-05-19|3.0|0|0.0|0|0.0|0
0|2020-05-20|5.0|0|0.0|0|0.0|0
0|2020-05-21|5.0|0|0.0|0|0.0|0
0|2020-05-22|7.0|0|0.0|0|0.0|0
0|2020-05-23|7.0|0|0.0|0|0.0|0
