|dates|Bay_Michigan_UnitedStates.JHU_ConfirmedCases.data|Bay_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Bay_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Bay_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Bay_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Bay_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|241.0|0|15.0|0|0.0|0
0|2020-05-18|248.0|0|16.0|0|0.0|0
0|2020-05-19|250.0|0|16.0|0|0.0|0
0|2020-05-20|255.0|0|16.0|0|0.0|0
0|2020-05-21|260.0|0|16.0|0|0.0|0
0|2020-05-22|269.0|0|16.0|0|0.0|0
0|2020-05-23|269.0|0|16.0|0|0.0|0
