|dates|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|551.0|0|10.0|0|0.0|0
0|2020-05-25|562.0|0|10.0|0|0.0|0
0|2020-05-26|562.0|0|10.0|0|0.0|0
