|dates|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Pitt_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|207.0|0|2.0|0|0.0|0
0|2020-05-18|213.0|0|2.0|0|0.0|0
0|2020-05-19|213.0|0|2.0|0|0.0|0
0|2020-05-20|228.0|0|2.0|0|0.0|0
0|2020-05-21|228.0|0|2.0|0|0.0|0
0|2020-05-22|246.0|0|2.0|0|0.0|0
0|2020-05-23|246.0|0|2.0|0|0.0|0
