|dates|Clinch_Georgia_UnitedStates.JHU_ConfirmedCases.data|Clinch_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Clinch_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Clinch_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Clinch_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Clinch_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|36.0|0|0.0|0|0.0|0
0|2020-05-15|40.0|0|1.0|0|0.0|0
0|2020-05-16|40.0|0|1.0|0|0.0|0
