|dates|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|15.0|0|1.0|0|0.0|0
0|2020-05-25|15.0|0|1.0|0|0.0|0
0|2020-05-26|15.0|0|1.0|0|0.0|0
