|dates|Osage_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Osage_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Osage_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|94.0|0|8.0|0|0.0|0
0|2020-05-25|94.0|0|8.0|0|0.0|0
0|2020-05-26|94.0|0|8.0|0|0.0|0
