|dates|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Brunswick_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|21.0|0|1.0|0|0.0|0
0|2020-05-25|21.0|0|1.0|0|0.0|0
0|2020-05-26|21.0|0|1.0|0|0.0|0
