|dates|Chase_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Chase_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Chase_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Chase_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Chase_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Chase_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6373.0|0|78.0|0|0.0|0
0|2020-05-25|6373.0|0|78.0|0|0.0|0
0|2020-05-26|6373.0|0|78.0|0|0.0|0
