|dates|Delta_Colorado_UnitedStates.JHU_ConfirmedCases.data|Delta_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Delta_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Delta_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Delta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Delta_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|55.0|0|1.0|0|0.0|0
0|2020-05-18|55.0|0|1.0|0|0.0|0
0|2020-05-19|55.0|0|1.0|0|0.0|0
0|2020-05-20|55.0|0|1.0|0|0.0|0
0|2020-05-21|57.0|0|1.0|0|0.0|0
0|2020-05-22|61.0|0|1.0|0|0.0|0
0|2020-05-23|61.0|0|1.0|0|0.0|0
