|dates|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jasper_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|25.0|0|1.0|0|0.0|0
0|2020-05-15|25.0|0|1.0|0|0.0|0
0|2020-05-16|25.0|0|1.0|0|0.0|0
