|dates|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bedford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|252.0|0|4.0|0|0.0|0
0|2020-05-18|254.0|0|4.0|0|0.0|0
0|2020-05-19|257.0|0|4.0|0|0.0|0
0|2020-05-20|257.0|0|4.0|0|0.0|0
0|2020-05-21|262.0|0|4.0|0|0.0|0
0|2020-05-22|263.0|0|4.0|0|0.0|0
0|2020-05-23|263.0|0|4.0|0|0.0|0
