|dates|Hutchinson_Texas_UnitedStates.JHU_ConfirmedCases.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hutchinson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hutchinson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hutchinson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|25.0|0|0.0|0|0.0|0
0|2020-05-15|25.0|0|0.0|0|0.0|0
0|2020-05-16|25.0|0|0.0|0|0.0|0
