|dates|McClain_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|McClain_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|McClain_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|McClain_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|McClain_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|McClain_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|86.0|0|2.0|0|0.0|0
0|2020-05-15|86.0|0|2.0|0|0.0|0
0|2020-05-16|86.0|0|2.0|0|0.0|0
