|dates|SilverBow_Montana_UnitedStates.JHU_ConfirmedCases.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedCases.missing|SilverBow_Montana_UnitedStates.JHU_ConfirmedDeaths.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|SilverBow_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|SilverBow_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|11.0|0|0.0|0|0.0|0
0|2020-05-25|11.0|0|0.0|0|0.0|0
0|2020-05-26|11.0|0|0.0|0|0.0|0
