|dates|Clayton_Georgia_UnitedStates.JHU_ConfirmedCases.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Clayton_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Clayton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Clayton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1008.0|0|39.0|0|0.0|0
0|2020-05-18|1009.0|0|38.0|0|0.0|0
0|2020-05-19|1010.0|0|38.0|0|0.0|0
0|2020-05-20|1034.0|0|39.0|0|0.0|0
0|2020-05-21|1047.0|0|42.0|0|0.0|0
0|2020-05-22|1071.0|0|43.0|0|0.0|0
0|2020-05-23|1071.0|0|43.0|0|0.0|0
