|dates|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Spartanburg_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|399.0|0|13.0|0|0.0|0
0|2020-05-18|407.0|0|13.0|0|0.0|0
0|2020-05-19|411.0|0|13.0|0|0.0|0
0|2020-05-20|415.0|0|13.0|0|0.0|0
0|2020-05-21|421.0|0|14.0|0|0.0|0
0|2020-05-22|439.0|0|16.0|0|0.0|0
0|2020-05-23|439.0|0|16.0|0|0.0|0
