|dates|Benton_Iowa_UnitedStates.JHU_ConfirmedCases.data|Benton_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Benton_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|39.0|0|1.0|0|0.0|0
0|2020-05-28|39.0|0|1.0|0|0.0|0
0|2020-05-29|39.0|0|1.0|0|0.0|0
0|2020-05-30|39.0|0|1.0|0|0.0|0
