|dates|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Faulkner_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|83.0|0|3.0|0|0.0|0
0|2020-05-15|88.0|0|3.0|0|0.0|0
0|2020-05-16|88.0|0|3.0|0|0.0|0
