|dates|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Chippewa_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|30.0|0|0.0|0|0.0|0
0|2020-05-18|32.0|0|0.0|0|0.0|0
0|2020-05-19|34.0|0|0.0|0|0.0|0
0|2020-05-20|36.0|0|0.0|0|0.0|0
0|2020-05-21|37.0|0|0.0|0|0.0|0
0|2020-05-22|39.0|0|0.0|0|0.0|0
0|2020-05-23|39.0|0|0.0|0|0.0|0
