|dates|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedCases.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedCases.missing|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|BuenaVista_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|8.0|0|0.0|0|0.0|0
0|2020-05-18|9.0|0|0.0|0|0.0|0
0|2020-05-19|11.0|0|0.0|0|0.0|0
0|2020-05-20|11.0|0|0.0|0|0.0|0
0|2020-05-21|12.0|0|0.0|0|0.0|0
0|2020-05-22|12.0|0|0.0|0|0.0|0
0|2020-05-23|12.0|0|0.0|0|0.0|0
