|dates|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bledsoe_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|603.0|0|1.0|0|0.0|0
0|2020-05-15|605.0|0|1.0|0|0.0|0
0|2020-05-16|605.0|0|1.0|0|0.0|0
