|dates|Stafford_Kansas_UnitedStates.JHU_ConfirmedCases.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Stafford_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Stafford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Stafford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1.0|0|0.0|0|0.0|0
0|2020-05-25|1.0|0|0.0|0|0.0|0
0|2020-05-26|1.0|0|0.0|0|0.0|0
