|dates|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|52.0|0|4.0|0|0.0|0
0|2020-05-18|58.0|0|4.0|0|0.0|0
0|2020-05-19|58.0|0|4.0|0|0.0|0
0|2020-05-20|60.0|0|8.0|0|0.0|0
0|2020-05-21|63.0|0|8.0|0|0.0|0
0|2020-05-22|66.0|0|8.0|0|0.0|0
0|2020-05-23|66.0|0|8.0|0|0.0|0
