|dates|Windham_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Windham_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Windham_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Windham_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|359.0|0|14.0|0|0.0|0
0|2020-05-25|365.0|0|14.0|0|0.0|0
0|2020-05-26|365.0|0|14.0|0|0.0|0
