|dates|Greensville_Virginia_UnitedStates.JHU_ConfirmedCases.data|Greensville_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Greensville_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Greensville_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Greensville_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Greensville_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|49.0|0|7.0|0|0.0|0
0|2020-05-15|50.0|0|7.0|0|0.0|0
0|2020-05-16|50.0|0|7.0|0|0.0|0
