|dates|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lauderdale_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|44.0|0|0.0|0|0.0|0
0|2020-05-18|44.0|0|1.0|0|0.0|0
0|2020-05-19|48.0|0|1.0|0|0.0|0
0|2020-05-20|48.0|0|1.0|0|0.0|0
0|2020-05-21|51.0|0|1.0|0|0.0|0
0|2020-05-22|51.0|0|1.0|0|0.0|0
0|2020-05-23|51.0|0|1.0|0|0.0|0
