|dates|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Forsyth_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|651.0|0|7.0|0|0.0|0
0|2020-05-18|698.0|0|7.0|0|0.0|0
0|2020-05-19|698.0|0|7.0|0|0.0|0
0|2020-05-20|749.0|0|7.0|0|0.0|0
0|2020-05-21|773.0|0|7.0|0|0.0|0
0|2020-05-22|869.0|0|7.0|0|0.0|0
0|2020-05-23|869.0|0|7.0|0|0.0|0
