|dates|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Mary_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|274.0|0|29.0|0|0.0|0
0|2020-05-18|275.0|0|29.0|0|0.0|0
0|2020-05-19|277.0|0|29.0|0|0.0|0
0|2020-05-20|281.0|0|29.0|0|0.0|0
0|2020-05-21|288.0|0|29.0|0|0.0|0
0|2020-05-22|294.0|0|29.0|0|0.0|0
0|2020-05-23|294.0|0|29.0|0|0.0|0
