|dates|Nueces_Texas_UnitedStates.JHU_ConfirmedCases.data|Nueces_Texas_UnitedStates.JHU_ConfirmedCases.missing|Nueces_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Nueces_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Nueces_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Nueces_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|233.0|0|3.0|0|0.0|0
0|2020-05-18|234.0|0|3.0|0|0.0|0
0|2020-05-19|242.0|0|3.0|0|0.0|0
0|2020-05-20|248.0|0|3.0|0|0.0|0
0|2020-05-21|256.0|0|3.0|0|0.0|0
0|2020-05-22|260.0|0|3.0|0|0.0|0
0|2020-05-23|260.0|0|3.0|0|0.0|0
