|dates|York_Virginia_UnitedStates.JHU_ConfirmedCases.data|York_Virginia_UnitedStates.JHU_ConfirmedCases.missing|York_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|York_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|York_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|York_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|61.0|0|2.0|0|0.0|0
0|2020-05-15|62.0|0|3.0|0|0.0|0
0|2020-05-16|62.0|0|3.0|0|0.0|0
