|dates|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|89.0|0|1.0|0|0.0|0
0|2020-05-18|93.0|0|1.0|0|0.0|0
0|2020-05-19|94.0|0|1.0|0|0.0|0
0|2020-05-20|94.0|0|1.0|0|0.0|0
0|2020-05-21|96.0|0|1.0|0|0.0|0
0|2020-05-22|97.0|0|1.0|0|0.0|0
0|2020-05-23|97.0|0|1.0|0|0.0|0
