|dates|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|292.0|0|12.0|0|0.0|0
0|2020-05-18|294.0|0|12.0|0|0.0|0
0|2020-05-19|299.0|0|12.0|0|0.0|0
0|2020-05-20|304.0|0|12.0|0|0.0|0
0|2020-05-21|306.0|0|12.0|0|0.0|0
0|2020-05-22|314.0|0|12.0|0|0.0|0
0|2020-05-23|314.0|0|12.0|0|0.0|0
