|dates|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Guilford_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|846.0|0|47.0|0|0.0|0
0|2020-05-18|872.0|0|47.0|0|0.0|0
0|2020-05-19|872.0|0|47.0|0|0.0|0
0|2020-05-20|916.0|0|49.0|0|0.0|0
0|2020-05-21|931.0|0|49.0|0|0.0|0
0|2020-05-22|977.0|0|50.0|0|0.0|0
0|2020-05-23|977.0|0|50.0|0|0.0|0
