|dates|Otero_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Otero_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Otero_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Otero_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Otero_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Otero_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|17.0|0|2.0|0|0.0|0
0|2020-05-28|17.0|0|2.0|0|0.0|0
0|2020-05-29|17.0|0|2.0|0|0.0|0
0|2020-05-30|17.0|0|2.0|0|0.0|0
