|dates|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedCases.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|OutofTN_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|340.0|0|4.0|0|0.0|0
0|2020-05-18|386.0|0|4.0|0|0.0|0
0|2020-05-19|386.0|0|4.0|0|0.0|0
0|2020-05-20|386.0|0|4.0|0|0.0|0
0|2020-05-21|339.0|0|4.0|0|0.0|0
0|2020-05-22|339.0|0|4.0|0|0.0|0
0|2020-05-23|339.0|0|4.0|0|0.0|0
