|dates|Hancock_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Hancock_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6.0|0|0.0|0|0.0|0
0|2020-05-25|6.0|0|0.0|0|0.0|0
0|2020-05-26|6.0|0|0.0|0|0.0|0
