|dates|Ottawa_Michigan_UnitedStates.JHU_ConfirmedCases.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Ottawa_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Ottawa_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Ottawa_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|715.0|0|31.0|0|0.0|0
0|2020-05-28|715.0|0|31.0|0|0.0|0
0|2020-05-29|715.0|0|31.0|0|0.0|0
0|2020-05-30|715.0|0|31.0|0|0.0|0
