|dates|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|313.0|0|47.0|0|0.0|0
0|2020-05-25|314.0|0|47.0|0|0.0|0
0|2020-05-26|314.0|0|47.0|0|0.0|0
