|dates|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Duplin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|305.0|0|6.0|0|0.0|0
0|2020-05-15|354.0|0|11.0|0|0.0|0
0|2020-05-16|354.0|0|11.0|0|0.0|0
